uneven_illum/video1_1 2.77586
uneven_illum/video1_2 2.03448
uneven_illum/video1_3 1.05172
uneven_illum/video1_4 0.13793
uneven_illum/video2_1 2.82759
uneven_illum/video2_2 2.15517
uneven_illum/video2_3 1.00000
uneven_illum/video2_4 0.01724
uneven_illum/video3_1 2.81034
uneven_illum/video3_2 2.00000
uneven_illum/video3_3 1.10345
uneven_illum/video3_4 0.08621
uneven_illum/video4_1 2.94828
uneven_illum/video4_2 1.86207
uneven_illum/video4_3 1.12069
uneven_illum/video4_4 0.06897
uneven_illum/video5_1 2.89655
uneven_illum/video5_2 2.05172
uneven_illum/video5_3 1.03448
uneven_illum/video5_4 0.01724
uneven_illum/video6_1 2.53448
uneven_illum/video6_2 2.24138
uneven_illum/video6_3 1.17241
uneven_illum/video6_4 0.05172
uneven_illum/video7_1 2.89655
uneven_illum/video7_2 2.06897
uneven_illum/video7_3 1.00000
uneven_illum/video7_4 0.03448
uneven_illum/video8_1 2.77586
uneven_illum/video8_2 2.18966
uneven_illum/video8_3 1.03448
uneven_illum/video8_4 0.00000
uneven_illum/video9_1 2.93103
uneven_illum/video9_2 2.03448
uneven_illum/video9_3 1.00000
uneven_illum/video9_4 0.03448
uneven_illum/video10_1 2.86207
uneven_illum/video10_2 2.06897
uneven_illum/video10_3 1.01724
uneven_illum/video10_4 0.05172
