uneven_illum/video1_1 2.7500
uneven_illum/video1_2 2.1250
uneven_illum/video1_3 1.1250
uneven_illum/video1_4 0.0000
uneven_illum/video2_1 2.6875
uneven_illum/video2_2 2.0000
uneven_illum/video2_3 1.2500
uneven_illum/video2_4 0.0625
uneven_illum/video3_1 3.0000
uneven_illum/video3_2 1.7500
uneven_illum/video3_3 1.1250
uneven_illum/video3_4 0.1250
uneven_illum/video4_1 2.8750
uneven_illum/video4_2 2.0000
uneven_illum/video4_3 0.8750
uneven_illum/video4_4 0.2500
uneven_illum/video5_1 2.6250
uneven_illum/video5_2 2.0000
uneven_illum/video5_3 1.3125
uneven_illum/video5_4 0.0625
uneven_illum/video6_1 2.4375
uneven_illum/video6_2 2.1250
uneven_illum/video6_3 1.3750
uneven_illum/video6_4 0.0625
uneven_illum/video7_1 2.6875
uneven_illum/video7_2 2.0000
uneven_illum/video7_3 1.3125
uneven_illum/video7_4 0.0000
uneven_illum/video8_1 2.6250
uneven_illum/video8_2 2.0625
uneven_illum/video8_3 1.1250
uneven_illum/video8_4 0.1875
uneven_illum/video9_1 2.5000
uneven_illum/video9_2 2.3125
uneven_illum/video9_3 1.1875
uneven_illum/video9_4 0.0000
uneven_illum/video10_1 2.5000
uneven_illum/video10_2 2.2500
uneven_illum/video10_3 1.1875
uneven_illum/video10_4 0.0625
