filename,predicted-label,actual-label,barretts,barretts-short-segment,bbps-0-1,bbps-2-3,cecum,dyed-lifted-polyps,dyed-resection-margins,esophagitis-a,esophagitis-b-d,hemorrhoids,ileum,impacted-stool,polyps,pylorus,retroflex-rectum,retroflex-stomach,ulcerative-colitis-grade-0-1,ulcerative-colitis-grade-1,ulcerative-colitis-grade-1-2,ulcerative-colitis-grade-2,ulcerative-colitis-grade-2-3,ulcerative-colitis-grade-3,z-line
0c9e0051-684f-4cad-9bd2-ed081d876249.jpg,barretts,barretts,0.687,0.191,0.0,0.0,0.0,0.0,0.0,0.003,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112
0ca3fdfe-1ab5-401c-a7f1-fb13f2586340.jpg,z-line,barretts,0.079,0.128,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.792
0ceb7736-72bf-4480-9f98-9060fdddba9f.jpg,z-line,barretts,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998
1aab090c-fd5d-45ae-b7a5-32c5eca64840.jpg,barretts,barretts,0.544,0.197,0.0,0.0,0.0,0.0,0.0,0.065,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.186
1ba881b6-36de-4e9f-8867-ac9bded80858.jpg,esophagitis-b-d,barretts,0.038,0.149,0.0,0.0,0.0,0.0,0.0,0.01,0.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.001,0.001,0.0
1e5ac457-5800-43de-91cf-813a5a18e148.jpg,ulcerative-colitis-grade-2,barretts,0.079,0.037,0.002,0.001,0.0,0.001,0.0,0.152,0.103,0.003,0.004,0.0,0.013,0.0,0.0,0.001,0.0,0.002,0.002,0.394,0.003,0.086,0.119
1f904b6e-a184-4d2f-8dae-8876b293568a.jpg,z-line,barretts,0.002,0.016,0.0,0.0,0.0,0.0,0.0,0.479,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.499
226a262c-3a76-41fb-91ec-7122790ab452.jpg,esophagitis-a,barretts,0.041,0.044,0.0,0.001,0.001,0.0,0.0,0.817,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095
270c7eb3-1c2e-4ecf-9b61-f38ebf146673.jpg,esophagitis-a,barretts,0.057,0.127,0.003,0.002,0.004,0.0,0.03,0.559,0.013,0.011,0.004,0.001,0.001,0.008,0.015,0.022,0.003,0.037,0.017,0.036,0.018,0.001,0.03
2b2a52de-29c0-44ac-b21c-0b47092e566d.jpg,esophagitis-b-d,barretts,0.02,0.09,0.0,0.0,0.0,0.0,0.0,0.001,0.888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0
3463a99e-3b67-4576-946f-e437ac21cb50.jpg,z-line,barretts,0.018,0.188,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.483
6548c39a-3f73-491e-99b9-4c364adf23ff.jpg,z-line,barretts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999
7ce23f01-78dd-4133-8b1b-68636217f878.jpg,z-line,barretts,0.035,0.02,0.0,0.0,0.0,0.0,0.0,0.238,0.007,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.696
a6c44fe9-bbf5-4bb5-98f9-082006d6dd05.jpg,esophagitis-a,barretts,0.008,0.011,0.0,0.0,0.0,0.0,0.0,0.926,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053
b1be233d-931b-4859-bb87-fe0263384553.jpg,z-line,barretts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
b470a84e-6560-4d7c-bb4e-2dbcbd96d17d.jpg,z-line,barretts,0.01,0.077,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.881
c701e6b5-4fbf-45a5-ae6c-4a82b9592e94.jpg,esophagitis-a,barretts,0.0,0.001,0.0,0.002,0.0,0.0,0.0,0.977,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d7c33881-2184-405b-b115-a86f2118aa18.jpg,esophagitis-a,barretts,0.132,0.082,0.0,0.003,0.0,0.0,0.0,0.733,0.004,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044
fbc1e03f-2416-40e7-b6fe-16fcf1ebee11.jpg,esophagitis-a,barretts,0.016,0.127,0.0,0.0,0.0,0.003,0.0,0.798,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027
fee3b50b-abad-4bc5-a909-cf1b291f7ef7.jpg,esophagitis-b-d,barretts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.268,0.731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03b9c09d-9018-4104-a249-2ec9c471dbf0.jpg,barretts-short-segment,barretts-short-segment,0.049,0.605,0.0,0.0,0.0,0.0,0.0,0.274,0.007,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.061
08b531a8-4ae8-44d7-b92c-69566e84a519.jpg,barretts-short-segment,barretts-short-segment,0.104,0.444,0.0,0.0,0.0,0.003,0.002,0.341,0.089,0.002,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.001,0.0,0.002,0.0,0.0,0.008
0bc45252-73c2-4eca-9ed8-6a0e77427fe0.jpg,esophagitis-a,barretts-short-segment,0.004,0.04,0.0,0.0,0.0,0.0,0.0,0.547,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.385
237b6b27-a102-46b7-9aa5-ba99c7bcb6c7.jpg,z-line,barretts-short-segment,0.001,0.012,0.0,0.0,0.0,0.0,0.0,0.233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.752
3d73b85f-b2aa-4836-b413-ed50f6637b30.jpg,esophagitis-a,barretts-short-segment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3dcbbdf8-4c04-4f47-8aa8-e6859258ddab.jpg,z-line,barretts-short-segment,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.754
44c452dd-f004-4e6f-8a9b-dc779e4d48d2.jpg,esophagitis-a,barretts-short-segment,0.009,0.025,0.0,0.001,0.0,0.0,0.0,0.584,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.379
463c84ec-2e3e-46c4-9de7-f5f834b28010.jpg,esophagitis-a,barretts-short-segment,0.012,0.06,0.0,0.0,0.0,0.0,0.0,0.578,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.341
5e554e89-b4d6-4926-afe8-d2819693617c.jpg,esophagitis-a,barretts-short-segment,0.046,0.199,0.0,0.0,0.0,0.0,0.001,0.607,0.002,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.002,0.007,0.001,0.0,0.132
5f586e2d-2269-41aa-b801-d5ae87129b75.jpg,barretts-short-segment,barretts-short-segment,0.206,0.737,0.0,0.0,0.0,0.0,0.0,0.024,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.005
617ae14a-7c51-4e19-a192-75c7a03bf658.jpg,esophagitis-b-d,barretts-short-segment,0.004,0.011,0.0,0.001,0.0,0.0,0.0,0.003,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6361016f-717f-4c1e-a94f-e9750f0944e4.jpg,esophagitis-a,barretts-short-segment,0.023,0.007,0.001,0.0,0.0,0.003,0.0,0.605,0.088,0.001,0.0,0.0,0.003,0.001,0.0,0.0,0.0,0.001,0.001,0.002,0.0,0.0,0.263
84ceedf7-5ada-4546-8f3f-14fc0c658edb.jpg,z-line,barretts-short-segment,0.12,0.04,0.0,0.0,0.0,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.792
8a044c30-eb04-4bdb-be4d-734e1780a4c2.jpg,esophagitis-a,barretts-short-segment,0.346,0.046,0.0,0.0,0.0,0.0,0.0,0.534,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07
9af95b54-502a-4459-b3b7-faf5fa3ed5a1.jpg,z-line,barretts-short-segment,0.001,0.002,0.0,0.0,0.0,0.0,0.0,0.154,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84
9cfda4f2-9693-41ed-b972-ee7e3d35ca5b.jpg,esophagitis-a,barretts-short-segment,0.02,0.004,0.0,0.0,0.0,0.0,0.0,0.859,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115
a30cd737-df9c-46aa-800d-8a2c5986f50b.jpg,barretts,barretts-short-segment,0.619,0.187,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.189
a9829b0d-5bfa-423b-b58e-599cb24f4453.jpg,z-line,barretts-short-segment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.993
b29a057b-efd5-4a4d-907d-177a8f081767.jpg,esophagitis-b-d,barretts-short-segment,0.007,0.012,0.0,0.0,0.0,0.0,0.0,0.037,0.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.011,0.0
c4b05b19-a861-4d69-8b01-57004367cf22.jpg,z-line,barretts-short-segment,0.036,0.124,0.0,0.0,0.0,0.0,0.0,0.028,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.808
cae271f6-943d-4632-b860-60a0b928e5e7.jpg,z-line,barretts-short-segment,0.005,0.161,0.0,0.0,0.0,0.0,0.0,0.031,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.802
cf06a21b-d3ea-4c51-afa9-329f18be8518.jpg,barretts,barretts-short-segment,0.545,0.241,0.0,0.0,0.0,0.0,0.0,0.011,0.201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0
cf5189c0-a0f6-4c4c-9e96-d773ded6447e.jpg,esophagitis-a,barretts-short-segment,0.029,0.064,0.0,0.0,0.001,0.001,0.001,0.697,0.084,0.001,0.001,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.002,0.0,0.001,0.113
dc31d822-e062-4f78-813e-5f9b9ad2bcf7.jpg,esophagitis-a,barretts-short-segment,0.123,0.024,0.0,0.0,0.0,0.0,0.0,0.681,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159
