file-name;class-name;split-index
64440803f87b4843_13761.jpg;Lymphangiectasia;0
64440803f87b4843_13736.jpg;Lymphangiectasia;0
7ad22d50ebaf4596_27491.jpg;Lymphangiectasia;0
64440803f87b4843_13758.jpg;Lymphangiectasia;0
7ad22d50ebaf4596_31187.jpg;Lymphangiectasia;0
64440803f87b4843_21832.jpg;Lymphangiectasia;0
64440803f87b4843_13746.jpg;Lymphangiectasia;0
7ad22d50ebaf4596_27218.jpg;Lymphangiectasia;0
64440803f87b4843_17947.jpg;Lymphangiectasia;0
7ad22d50ebaf4596_27511.jpg;Lymphangiectasia;0
04a78ef00c5245e0_12394.jpg;Lymphangiectasia;0
64440803f87b4843_13747.jpg;Lymphangiectasia;0
7ad22d50ebaf4596_29241.jpg;Lymphangiectasia;0
7ad22d50ebaf4596_29174.jpg;Lymphangiectasia;0
7ad22d50ebaf4596_29237.jpg;Lymphangiectasia;0
64440803f87b4843_17820.jpg;Lymphangiectasia;0
7ad22d50ebaf4596_27432.jpg;Lymphangiectasia;0
64440803f87b4843_17833.jpg;Lymphangiectasia;0
7ad22d50ebaf4596_27599.jpg;Lymphangiectasia;0
64440803f87b4843_17934.jpg;Lymphangiectasia;0
64440803f87b4843_17849.jpg;Lymphangiectasia;0
04a78ef00c5245e0_12402.jpg;Lymphangiectasia;0
7ad22d50ebaf4596_28946.jpg;Lymphangiectasia;0
7ad22d50ebaf4596_10484.jpg;Lymphangiectasia;0
7ad22d50ebaf4596_31201.jpg;Lymphangiectasia;0
64440803f87b4843_17863.jpg;Lymphangiectasia;0
7ad22d50ebaf4596_27288.jpg;Lymphangiectasia;0
7ad22d50ebaf4596_29242.jpg;Lymphangiectasia;0
7ad22d50ebaf4596_31134.jpg;Lymphangiectasia;0
64440803f87b4843_17824.jpg;Lymphangiectasia;0
7ad22d50ebaf4596_31193.jpg;Lymphangiectasia;0
7ad22d50ebaf4596_29249.jpg;Lymphangiectasia;0
7ad22d50ebaf4596_31185.jpg;Lymphangiectasia;0
64440803f87b4843_17883.jpg;Lymphangiectasia;0
7ad22d50ebaf4596_29256.jpg;Lymphangiectasia;0
64440803f87b4843_17880.jpg;Lymphangiectasia;0
64440803f87b4843_17829.jpg;Lymphangiectasia;0
7ad22d50ebaf4596_27490.jpg;Lymphangiectasia;0
04a78ef00c5245e0_12407.jpg;Lymphangiectasia;0
64440803f87b4843_21811.jpg;Lymphangiectasia;0
64440803f87b4843_13737.jpg;Lymphangiectasia;0
64440803f87b4843_13754.jpg;Lymphangiectasia;0
7ad22d50ebaf4596_31254.jpg;Lymphangiectasia;0
